* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
82C160 2025121502    998.1   1023.1     12.6     None      6.0     64.0      9.4      3.1     70.0      3.9     70.0     10.4     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.6     15.1     16.4     18.1    -99.5     20.5     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     14.6     None   -99.95     None     12.8     12.6
82C160 2025121503    997.7   1022.7     12.2     None      6.4     67.0      9.6      2.3     60.0      3.4     70.0      9.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.5     15.0     16.3     18.0    -99.5     20.5     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     14.3     None   -99.95     None     12.7     12.3
82C160 2025121504    997.5   1022.3     12.5     None      6.2     65.0      9.5      2.2     70.0      2.8     70.0      9.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.4     14.9     16.2     17.9    -99.5     20.5     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     14.4     None   -99.95     None     12.5     12.2
82C160 2025121505    997.6   1022.4     13.2     None      6.6     64.0      9.7      3.0     70.0      3.0     70.0      8.8     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.5     14.9     16.1     17.8    -99.5     20.4     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     15.1     None   -99.95     None     13.2     12.5
82C160 2025121506    997.7   1022.6     13.2     None      6.8     65.0      9.9      2.8     70.0      3.4     70.0     11.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.5     14.8     16.0     17.7    -99.5     20.4     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     15.2     None   -99.95     None     13.4     13.1
82C160 2025121507    998.2   1023.0     13.3     None      7.1     66.0     10.1      2.3     70.0      3.0     70.0      9.2    130.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     13.6     14.8     16.0     17.6    -99.5     20.4     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        2     15.2     None   -99.95     None     13.3     13.1
82C160 2025121508    998.7   1023.4     14.9     None      7.7     62.0     10.5      2.6     70.0      3.2     70.0     11.1     70.0      0.0     -9.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     14.0     14.8     15.9     17.6    -99.5     20.4     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.62        2     16.9     None   -99.95     None     14.9     13.3
82C160 2025121509    998.9   1023.5     17.0     None      7.9     55.0     10.8      2.9     80.0      3.4     80.0      9.1     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     15.1     15.0     15.9     17.5    -99.5     20.3     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.43        1     19.3     None   -99.95     None     16.9     14.9
82C160 2025121510    998.7   1023.1     18.6     None      8.5     51.0     11.3      3.3     70.0      4.0     80.0     10.5     70.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.0     15.6     16.0     17.4    -99.5     20.3     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.4        0     21.4     None   -99.95     None     18.6     17.0
82C160 2025121511    997.8   1022.2     18.4     None      8.6     52.0     11.2      2.5     80.0      3.4     60.0      8.6     70.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.9     16.0     16.2     17.4    -99.5     20.3     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.06        8     21.1     None   -99.95     None     18.6     17.3
82C160 2025121512    997.3   1021.7     18.7     None      8.4     51.0     11.2      2.0     70.0      2.8     80.0      8.6     70.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.3     16.4     16.4     17.4    -99.5     20.2     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.03        8     21.6     None   -99.95     None     18.9     18.4
82C160 2025121513    996.3   1020.5     19.7     None      9.0     50.0     11.3      1.5     80.0      2.2     60.0      6.1     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.7     16.6     16.7     17.4    -99.5     20.2     22.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.96        7     22.8     None   -99.95     None     19.6     18.7
82C160 2025121514    995.8   1019.9     20.8     None      8.7     45.0     11.5      1.7     60.0      2.0     70.0      6.4     90.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     18.3     17.0     16.9     17.5    -99.5     20.2     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.63        7     24.5     None   -99.95     None     20.8     19.7
82C160 2025121515    995.7   1020.0     19.4     None      9.1     51.0     11.5      1.7     80.0      1.9     80.0      5.2     70.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     18.0     17.2     17.1     17.6    -99.5     20.1     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.64        6     22.5     None   -99.95     None     20.8     19.4
82C160 2025121516    995.8   1020.1     18.6     None      9.2     54.0     11.5      1.8     70.0      1.8     70.0      5.2     80.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     17.7     17.3     17.2     17.6    -99.5     20.1     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.33        6     21.4     None   -99.95     None     19.4     18.5
82C160 2025121517    996.0   1020.4     17.9     None      9.4     57.0     11.8      1.4     70.0      1.8     70.0      4.8     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.3     17.2     17.3     17.7    -99.5     20.1     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.12        2     20.6     None   -99.95     None     18.6     18.0
82C160 2025121518    996.2   1020.7     16.5     None      9.7     64.0     12.0      0.8     90.0      1.7     80.0      4.8     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.7     17.1     17.4     17.8    -99.5     20.0     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     18.7     None   -99.95     None     18.0     16.5
82C160 2025121519    997.0   1021.6     15.6     None      9.6     67.0     11.9      0.6    100.0      1.1    100.0      2.9     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.9     17.4     17.9    -99.5     20.0     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.7     None   -99.95     None     16.5     15.6
82C160 2025121520    997.3   1021.8     16.3     None      9.3     63.0     11.8      1.0    110.0      1.1    100.0      3.0     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.2     16.8     17.3     17.9    -99.5     20.0     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     18.5     None   -99.95     None     16.3     15.5
82C160 2025121521    997.3   1021.8     16.5     None      9.5     63.0     11.9      1.4     90.0      1.6    100.0      3.6    120.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     16.7     17.2     17.9    -99.5     20.0     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     18.7     None   -99.95     None     16.6     16.3
82C160 2025121522    997.0   1021.7     15.8     None      9.6     66.0     11.9      0.9    100.0      1.5     90.0      3.3    110.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.7     17.2     17.9    -99.5     20.0     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     17.9     None   -99.95     None     16.5     15.7
82C160 2025121523    996.7   1021.4     14.9     None      9.7     71.0     12.0      1.0    120.0      1.2    110.0      2.5    120.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     16.5     17.2     17.9    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.9     None   -99.95     None     15.8     14.8
82C160 2025121524    996.7   1021.3     15.2     None      9.9     70.0     12.3      1.0    130.0      1.3    150.0      3.1    150.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     16.4     17.1     17.9    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     17.3     None   -99.95     None     15.2     14.6
82C160 2025121601    996.7   1021.3     15.5     None      9.7     68.0     12.0      1.6    150.0      1.8    150.0      3.7    150.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     16.4     17.0     17.9    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     17.6     None   -99.95     None     15.5     15.2
82C160 2025121602    996.4   1021.0     15.1     None      9.6     69.0     12.0      1.3    140.0      1.6    140.0      2.8    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     16.3     17.0     17.9    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     17.2     None   -99.95     None     15.5     15.1
82C160 2025121603    996.1   1020.8     14.6     None     10.0     74.0     12.3      1.7    160.0      2.0    150.0      3.4    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.3     16.2     17.0     17.9    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     16.5     None   -99.95     None     15.1     13.6
82C160 2025121604    995.8   1020.6     13.5     None     10.3     81.0     12.5      0.9    150.0      1.7    160.0      2.9    160.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.0     16.1     16.9     17.8    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     15.4     None   -99.95     None     14.6     13.1
82C160 2025121605    996.0   1020.8     13.3     None      9.9     80.0     12.2      0.9    170.0      1.6    160.0      3.1    150.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.8     16.0     16.8     17.8    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     15.3     None   -99.95     None     14.3     13.4
82C160 2025121606    996.6   1021.4     12.9     None      9.8     81.0     12.1      0.3    180.0      1.5    170.0      2.7    170.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.6     15.8     16.7     17.8    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     14.9     None   -99.95     None     14.2     12.8
82C160 2025121607    997.1   1021.9     13.0     None     10.5     84.0     12.7      0.4    210.0      0.8    220.0      1.7    170.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.5     15.7     16.6     17.7    -99.5     19.9     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        2     15.0     None   -99.95     None     13.0     12.5
82C160 2025121608    997.5   1022.1     15.7     None     12.3     80.0     14.3      0.0     None      0.4    190.0      1.2    190.0      0.0     -9.5      0.5     None     None     None     None     None     None     None     None     None     None     None     None     14.8     15.6     16.5     17.7    -99.5     19.8     22.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.48        2     17.7     None   -99.95     None     15.6     13.0
82C160 2025121609    997.9   1022.2     19.3     None     11.7     61.0     14.1      0.5    240.0      0.7    260.0      1.9    290.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.2     15.8     16.5     17.6    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.26        2     22.3     None   -99.95     None     19.4     15.7
82C160 2025121610    998.0   1022.3     20.3     None     11.8     58.0     13.9      0.7    240.0      0.9    290.0      2.2    320.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     18.3     16.5     16.6     17.6    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.97        1     23.6     None   -99.95     None     20.2     19.0
82C160 2025121611    997.3   1021.4     20.9     None     12.3     57.0     14.4      0.7    260.0      1.0    270.0      2.5    290.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.1     17.3     16.9     17.6    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.49        8     24.8     None   -99.95     None     21.2     19.9
82C160 2025121612    996.4   1020.5     21.9     None     11.7     52.0     13.7      0.6    120.0      1.2    360.0      3.0    280.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.8     18.0     17.3     17.6    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.67        8     26.2     None   -99.95     None     22.0     20.9
82C160 2025121613    995.3   1019.3     22.4     None     11.9     51.0     14.1      1.3    270.0      1.4    340.0      2.8    360.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.8     18.5     17.7     17.7    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.64        7     27.3     None   -99.95     None     22.5     21.8
82C160 2025121614    994.9   1018.8     22.7     None     13.6     56.0     15.5      0.8    340.0      2.0    290.0      4.0    290.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.9     18.9     18.0     17.8    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.33        6     27.8     None   -99.95     None     23.1     22.0
82C160 2025121615    994.9   1019.0     20.8     None     12.1     57.0     14.1      1.7    360.0      1.9    360.0      5.3    360.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.1     18.3     17.9    -99.5     19.8     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.74        6     24.5     None   -99.95     None     23.1     20.8
82C160 2025121616    995.2   1019.4     19.7     None     12.7     64.0     14.9      1.3    360.0      1.7    360.0      5.4    350.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     19.3     19.0     18.5     18.1    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.04        5     23.0     None   -99.95     None     20.8     19.7
82C160 2025121617    995.7   1020.0     18.6     None     12.7     68.0     14.6      0.7     40.0      1.9     10.0      4.0     10.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     18.6     18.7     18.6     18.3    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.27        3     21.4     None   -99.95     None     19.7     18.6
82C160 2025121618    995.9   1020.4     17.0     None     12.9     76.0     14.8      0.0     None      0.8     60.0      1.8     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.8     18.4     18.5     18.4    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        2     19.4     None   -99.95     None     18.6     17.0
82C160 2025121619    996.2   1020.7     16.1     None     12.8     80.0     14.8      0.0     None      0.4     70.0      2.0     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.2     18.1     18.5     18.5    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     18.3     None   -99.95     None     17.1     16.1
82C160 2025121620    996.6   1021.2     15.4     None     12.5     83.0     14.5      0.0     None      0.0     None      0.0     None      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     17.8     18.3     18.5    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     17.5     None   -99.95     None     16.1     15.4
82C160 2025121621    996.6   1021.3     14.7     None     12.3     85.0     14.3      0.0     None      0.0     None      0.0     None      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.4     17.6     18.2     18.5    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.8     None   -99.95     None     15.6     14.7
82C160 2025121622    997.0   1021.7     14.8     None     12.7     87.0     14.7      0.0     None      0.7    120.0      1.3    120.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     17.3     18.0     18.5    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.8     None   -99.95     None     15.1     14.5
82C160 2025121623    996.9   1021.6     14.6     None     13.3     91.0     15.2      0.0     None      0.3    120.0      0.8    130.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.8     17.1     17.9     18.5    -99.5     19.7     22.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.6     None   -99.95     None     14.8     14.3
82C160 2025121624    997.0   1021.7     14.5     None     13.3     92.0     15.3      0.0     None      0.0     None      0.6    200.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     16.9     17.8     18.5    -99.5     19.7     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.4     None   -99.95     None     14.6     14.3
82C160 2025121701    996.9   1021.5     15.1     None     13.9     92.0     15.8      0.0     None      0.3    130.0      1.1    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.9     17.6     18.4    -99.5     19.7     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     17.1     None   -99.95     None     15.2     14.4
82C160 2025121702    996.9   1021.5     14.8     None     12.9     88.0     14.9      0.0     None      0.6    140.0      1.8    190.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.9     17.6     18.4    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     16.9     None   -99.95     None     15.4     14.8
82C160 2025121704    996.5   1021.1     15.4     None     10.6     72.0     12.8      1.3    160.0      1.6    180.0      3.3    200.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.2     16.8     17.5     18.3    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     17.6     None   -99.95     None     15.9     14.9
82C160 2025121705    996.7   1021.4     14.3     None     10.5     77.0     12.7      0.0     None      1.4    160.0      2.8    160.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.0     16.8     17.4     18.3    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.3     None   -99.95     None     15.6     14.3
82C160 2025121706    997.2   1021.9     15.2     None     11.8     80.0     13.9      0.7    100.0      0.7    100.0      2.0     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.8     16.7     17.4     18.2    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.3     None   -99.95     None     15.2     14.1
82C160 2025121707    997.3   1022.0     13.9     None     12.2     89.0     14.2      0.4    110.0      1.0    110.0      2.3    110.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     16.6     17.3     18.2    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        2     15.8     None   -99.95     None     15.2     13.4
82C160 2025121708    997.6   1022.2     16.5     None     14.3     87.0     16.2      0.9     90.0      1.0     90.0      3.2     70.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     15.8     16.5     17.2     18.2    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.39        3     18.6     None   -99.95     None     16.4     13.7
82C160 2025121709    998.3   1022.5     20.4     None     15.0     71.0     17.3      1.8     70.0      2.4     80.0      7.6     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.3     16.7     17.2     18.1    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.33        3     23.9     None   -99.95     None     20.3     16.5
82C160 2025121710    998.4   1022.5     22.0     None     14.6     62.0     16.7      2.3     80.0      2.8     80.0      8.1     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     19.2     17.3     17.3     18.1    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.0        1     26.5     None   -99.95     None     22.0     20.4
82C160 2025121711    997.7   1021.8     22.7     None     13.6     56.0     15.3      2.4     70.0      2.7     80.0      7.0     80.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     18.0     17.6     18.1    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.35        0     27.4     None   -99.95     None     22.8     21.3
82C160 2025121712    997.1   1021.0     23.9     None     12.4     48.0     14.0      1.9     50.0      2.6     40.0      7.3     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.0     18.5     17.9     18.1    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.6        8     29.9     None   -99.95     None     24.2     22.6
82C160 2025121713    996.6   1020.5     23.9     None     11.1     44.0     13.3      3.1     30.0      3.2     30.0      8.1     20.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.0     18.9     18.2     18.2    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.47        7     29.6     None   -99.95     None     24.3     22.8
82C160 2025121714    996.3   1020.2     24.0     None     11.6     45.0     13.7      2.4     40.0      3.7     30.0      8.6     40.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.1     19.2     18.5     18.3    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.53        7     29.7     None   -99.95     None     24.7     23.6
82C160 2025121715    996.1   1020.1     22.1     None     15.3     65.0     17.3      2.5     40.0      3.3     30.0      7.8     30.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.9     19.4     18.8     18.4    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.8        6     26.5     None   -99.95     None     24.0     22.0
82C160 2025121716    996.3   1020.4     21.4     None     14.0     62.0     16.0      2.5     60.0      2.8     60.0      8.4     80.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.0     19.3     18.9     18.5    -99.5     19.8     22.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.1        5     25.5     None   -99.95     None     22.4     21.3
82C160 2025121717    996.6   1020.8     20.1     None     14.6     70.0     16.6      2.0     60.0      3.1     70.0      8.2     30.0      0.0     -9.5      0.4     None     None     None     None     None     None     None     None     None     None     None     None     19.5     19.2     19.0     18.7    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.38        3     23.5     None   -99.95     None     21.4     20.1
82C160 2025121718    997.3   1021.6     19.2     None     14.2     72.0     16.2      2.8     70.0      2.9     60.0      8.8     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.9     19.0     19.0     18.8    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     22.3     None   -99.95     None     20.1     19.2
82C160 2025121719    998.1   1022.4     18.8     None     14.4     75.0     16.3      2.5     70.0      3.3     70.0      9.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.6     18.8     18.9     18.9    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     21.8     None   -99.95     None     19.2     18.9
82C160 2025121720    998.3   1022.6     18.6     None     14.9     79.0     17.0      2.8     70.0      3.5     70.0      9.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.4     18.6     18.9     18.9    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     21.5     None   -99.95     None     18.9     18.6
82C160 2025121721    998.4   1022.8     18.4     None     14.4     77.0     16.5      3.1     70.0      3.5     70.0     10.2     80.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.2     18.5     18.8     18.9    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     21.2     None   -99.95     None     18.8     18.4
82C160 2025121722    998.3   1022.7     18.0     None     13.9     76.0     15.8      3.7     70.0      3.7     80.0     11.1     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.0     18.4     18.7     19.0    -99.5     19.8     22.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     20.6     None   -99.95     None     18.4     17.9
