* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025032612   1003.3   1007.7     27.0     None     22.0       73     26.4      5.7    240.0      6.2    240.0     12.1    240.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     20.2     19.9     19.5    -99.5     19.6     18.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.07        8     35.5     None   -99.95     None     27.3     26.4
72C440 2025032613   1002.4   1006.8     26.8     None     22.2       76     26.4      5.1    240.0      6.2    240.0     11.8    250.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.9     20.7     20.1     19.5    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.03        8     35.2     None   -99.95     None     27.2     26.7
72C440 2025032614   1001.6   1005.9     26.6     None     22.2       76     27.2      4.5    240.0      6.0    250.0     11.3    250.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.5     21.2     20.5     19.6    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.42        7     34.9     None   -99.95     None     27.5     26.2
72C440 2025032615   1001.2   1005.6     25.4     None     21.9       81     26.5      4.7    250.0      5.9    240.0     10.6    250.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.6     21.6     20.8     19.7    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.55        6     32.5     None   -99.95     None     26.6     25.4
72C440 2025032616   1000.9   1005.3     24.7     None     21.9       84     26.3      4.3    240.0      5.5    240.0      9.6    230.0      0.0     -9.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     23.4     21.8     21.1     19.9    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.55        6     31.2     None   -99.95     None     25.4     24.8
72C440 2025032617   1001.3   1005.7     24.5     None     21.9       85     26.2      4.2    240.0      4.8    240.0      9.1    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.2     21.8     21.3     20.0    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.22        5     30.8     None   -99.95     None     24.7     24.5
72C440 2025032618   1001.6   1006.0     24.3     None     22.0       86     26.3      3.7    230.0      4.6    240.0      8.6    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.1     21.8     21.3     20.2    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.09        3     30.3     None   -99.95     None     24.5     24.3
72C440 2025032619   1001.9   1006.3     24.2     None     22.1       88     26.7      3.3    230.0      4.4    240.0      7.6    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.9     21.7     21.4     20.3    -99.5     19.7     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     30.1     None   -99.95     None     24.3     24.1
72C440 2025032620   1002.3   1006.7     24.3     None     22.3       88     26.9      3.5    230.0      4.1    230.0      7.3    210.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.8     21.7     21.4     20.4    -99.5     19.8     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     30.4     None   -99.95     None     24.3     24.2
72C440 2025032621   1002.6   1007.0     24.1     None     22.5       91     27.3      5.0    230.0      5.1    230.0      9.5    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.7     21.6     21.4     20.4    -99.5     19.8     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     30.0     None   -99.95     None     24.3     24.0
72C440 2025032622   1002.6   1007.0     24.0     None     22.3       90     27.0      4.6    230.0      5.5    230.0      9.7    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.6     21.6     21.3     20.5    -99.5     19.8     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     29.9     None   -99.95     None     24.1     24.0
72C440 2025032623   1002.8   1007.2     24.2     None     22.2       89     26.8      5.0    230.0      5.6    230.0     11.4    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.5     21.5     21.3     20.5    -99.5     19.9     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     30.1     None   -99.95     None     24.2     23.9
72C440 2025032624   1002.6   1007.0     24.2     None     22.2       88     26.7      5.3    230.0      5.5    230.0     10.9    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.5     21.5     21.3     20.5    -99.5     19.9     18.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     30.2     None   -99.95     None     24.2     24.2
72C440 2025032701   1002.5   1006.9     24.1     None     22.3       89     26.9      4.8    230.0      5.6    230.0     12.0    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.4     21.4     21.3     20.5    -99.5     19.9     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     30.1     None   -99.95     None     24.2     24.1
72C440 2025032702   1002.2   1006.6     24.0     None     22.1       89     26.6      3.6    220.0      5.7    230.0     10.2    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.4     21.4     21.2     20.5    -99.5     20.0     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     29.9     None   -99.95     None     24.1     24.0
72C440 2025032703   1001.7   1006.1     24.1     None     21.7       86     26.0      3.7    220.0      4.5    210.0      8.5    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.3     21.3     21.2     20.6    -99.5     20.0     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     29.9     None   -99.95     None     24.1     24.0
72C440 2025032704   1001.5   1005.9     24.0     None     21.7       87     25.9      5.2    230.0      5.3    230.0     10.3    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     21.3     21.2     20.6    -99.5     20.0     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     29.7     None   -99.95     None     24.1     23.9
72C440 2025032705   1001.9   1006.2     24.0     None     21.7       86     25.9      4.9    230.0      5.7    240.0     12.6    210.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     21.2     21.2     20.6    -99.5     20.0     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     29.9     None   -99.95     None     24.0     23.9
72C440 2025032706   1002.0   1006.4     23.9     None     21.7       87     26.0      5.2    230.0      5.2    230.0     10.3    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.1     21.2     21.1     20.5    -99.5     20.1     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     29.7     None   -99.95     None     24.0     23.9
72C440 2025032707   1002.0   1006.4     24.2     None     21.7       85     25.9      5.8    220.0      6.0    220.0     12.1    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.1     21.1     21.1     20.5    -99.5     20.1     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.19        1     30.3     None   -99.95     None     24.3     23.9
72C440 2025032708   1002.5   1006.8     25.4     None     21.3       78     25.2      5.5    230.0      5.8    240.0     11.6    250.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     21.1     21.1     20.5    -99.5     20.1     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.76        3     32.4     None   -99.95     None     25.4     24.2
72C440 2025032709   1002.4   1006.7     26.9     None     21.8       73     26.1      4.6    240.0      6.9    230.0     13.3    240.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.4     21.2     21.1     20.5    -99.5     20.1     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.17        2     35.5     None   -99.95     None     27.0     25.4
72C440 2025032710   1002.4   1006.8     27.4     None     21.9       72     26.4      5.3    240.0      5.9    240.0     11.6    220.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.6     21.3     21.1     20.5    -99.5     20.2     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.64        1     36.5     None   -99.95     None     27.5     26.6
72C440 2025032711   1001.7   1006.0     28.1     None     23.0       73     28.0      6.1    240.0      6.4    240.0     13.4    220.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.1     21.4     21.1     20.5    -99.5     20.2     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.41        8     38.2     None   -99.95     None     28.4     27.0
72C440 2025032712   1000.9   1005.3     28.2     None     23.2       74     28.6      6.4    240.0      7.4    240.0     14.9    230.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.8     21.7     21.3     20.5    -99.5     20.2     18.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.32        8     38.2     None   -99.95     None     28.4     27.6
72C440 2025032713   1000.3   1004.6     27.7     None     23.4       77     29.1      7.1    260.0      7.4    250.0     15.7    260.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     24.4     22.2     21.5     20.6    -99.5     20.2     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.38        6     36.9     None   -99.95     None     28.5     27.5
72C440 2025032714    999.5   1003.8     27.8     None     23.3       76     28.7      5.9    250.0      7.4    250.0     15.5    260.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     25.1     22.7     21.8     20.7    -99.5     20.2     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.09        7     37.5     None   -99.95     None     28.0     27.2
72C440 2025032715    999.2   1003.6     26.6     None     22.7       79     27.3      7.4    250.0      7.6    250.0     16.0    250.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     25.4     23.1     22.2     20.8    -99.5     20.3     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.64        6     34.7     None   -99.95     None     27.8     26.5
72C440 2025032716    999.4   1003.7     25.9     None     22.0       79     26.4      6.5    240.0      8.0    240.0     15.8    240.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     25.1     23.3     22.5     21.0    -99.5     20.3     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.46        6     33.1     None   -99.95     None     26.8     25.7
72C440 2025032717    999.9   1004.3     25.3     None     21.5       79     25.6      7.8    240.0      8.2    240.0     16.3    240.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     24.7     23.3     22.7     21.2    -99.5     20.3     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.98        3     32.3     None   -99.95     None     26.0     25.4
72C440 2025032718   1000.2   1004.5     25.1     None     21.0       77     24.9      6.9    250.0      7.9    240.0     15.8    230.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     24.3     23.2     22.7     21.3    -99.5     20.3     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.24        2     31.9     None   -99.95     None     25.3     25.0
72C440 2025032719   1000.8   1005.1     24.9     None     20.6       76     24.3      6.0    250.0      7.7    240.0     15.1    260.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     24.0     23.0     22.7     21.4    -99.5     20.4     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     31.5     None   -99.95     None     25.1     24.8
72C440 2025032720   1001.7   1006.0     24.8     None     20.5       76     24.1      6.9    250.0      7.5    250.0     17.1    240.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.7     22.8     22.6     21.5    -99.5     20.4     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     31.4     None   -99.95     None     25.1     24.8
72C440 2025032721   1002.7   1007.1     25.0     None     20.1       74     23.5      6.7    250.0      7.1    250.0     14.7    260.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.5     22.6     22.5     21.5    -99.5     20.4     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     31.7     None   -99.95     None     25.0     24.8
72C440 2025032722   1003.0   1007.4     25.1     None     20.1       74     23.5      6.0    240.0      6.9    240.0     14.2    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.3     22.5     22.4     21.5    -99.5     20.5     18.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     31.8     None   -99.95     None     25.1     24.9
72C440 2025032723   1003.3   1007.7     24.9     None     20.3       75     23.8      6.1    240.0      6.8    240.0     13.6    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.1     22.3     22.3     21.5    -99.5     20.5     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     31.5     None   -99.95     None     25.1     24.9
72C440 2025032724   1003.5   1007.8     25.0     None     20.0       73     23.4      6.4    240.0      6.8    240.0     13.3    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.0     22.2     22.2     21.5    -99.5     20.5     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     31.7     None   -99.95     None     25.0     24.8
72C440 2025032801   1003.4   1007.8     25.8     None     19.2       66     22.2      6.4    230.0      7.5    240.0     13.3    260.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.9     22.1     22.1     21.5    -99.5     20.6     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     33.3     None   -99.95     None     25.8     25.0
72C440 2025032802   1004.3   1008.7     25.6     None     19.1       67     22.1      4.6    230.0      6.5    230.0     11.1    220.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.8     22.0     22.0     21.5    -99.5     20.6     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     32.9     None   -99.95     None     25.9     25.6
72C440 2025032803   1005.2   1009.5     24.7     None     21.1       80     25.0      2.3    290.0      4.4    240.0      8.0    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.6     21.9     21.9     21.4    -99.5     20.6     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     31.0     None   -99.95     None     25.6     24.6
72C440 2025032804   1006.5   1011.0     21.4     None     20.0       91     23.3      3.8     10.0      4.1    320.0      8.4     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.5     21.8     21.9     21.4    -99.5     20.7     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     25.5     None   -99.95     None     24.8     21.4
72C440 2025032805   1007.7   1012.2     19.7     None     18.2       90     21.0      5.8     50.0      6.3     30.0     11.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.3     21.7     21.8     21.3    -99.5     20.7     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.1     None   -99.95     None     22.0     19.8
72C440 2025032806   1009.2   1013.7     18.2     None     16.8       91     19.1      5.7     40.0      5.9     50.0     11.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.8     21.5     21.7     21.3    -99.5     20.7     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     20.8     None   -99.95     None     19.7     18.2
72C440 2025032807   1009.7   1014.2     17.5     None     15.7       89     17.9      6.5     50.0      6.6     50.0     11.5     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.4     21.3     21.6     21.3    -99.5     20.7     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.04        1     20.0     None   -99.95     None     18.2     17.5
72C440 2025032808   1010.4   1015.0     17.2     None     14.9       86     17.1      7.0     50.0      7.1     50.0     14.3     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.1     21.0     21.4     21.2    -99.5     20.8     18.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.09        1     19.7     None   -99.95     None     17.5     17.2
72C440 2025032809   1011.6   1016.1     16.4     None     14.6       89     16.7      6.4     50.0      7.9     50.0     14.6     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.7     20.8     21.2     21.1    -99.5     20.8     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.17        3     18.6     None   -99.95     None     17.2     16.3
72C440 2025032810   1012.0   1016.5     16.3     None     14.1       86     16.1      6.7     50.0      6.7     50.0     13.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.4     20.5     21.0     21.1    -99.5     20.8     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.23        1     18.5     None   -99.95     None     16.5     16.1
72C440 2025032811   1012.1   1016.6     16.4     None     13.9       85     15.8      6.1     50.0      7.3     50.0     13.1     60.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     20.2     20.3     20.9     21.0    -99.5     20.8     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.34        1     18.6     None   -99.95     None     16.4     16.1
72C440 2025032812   1011.0   1015.6     16.3     None     13.9       85     15.7      7.1     50.0      7.4     50.0     13.8     50.0      0.0     -9.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     20.1     20.1     20.7     20.9    -99.5     20.8     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.48        8     18.5     None   -99.95     None     16.4     16.2
72C440 2025032813   1010.2   1014.7     16.9     None     14.0       82     16.0      5.8     50.0      7.3     50.0     13.6     50.0      0.0     -9.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     20.0     20.0     20.6     20.8    -99.5     20.8     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.54        8     19.2     None   -99.95     None     16.9     16.3
72C440 2025032814   1009.6   1014.1     16.0     None     14.0       87     15.9      6.8     50.0      7.3     50.0     12.9     60.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     19.9     19.9     20.4     20.7    -99.5     20.9     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.32        6     18.2     None   -99.95     None     17.0     16.0
72C440 2025032815   1009.3   1013.9     15.8     None     13.8       87     15.8      6.9     50.0      6.9     50.0     14.2     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.6     19.7     20.3     20.6    -99.5     20.9     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.19        6     17.9     None   -99.95     None     16.0     15.7
72C440 2025032816   1009.8   1014.4     15.9     None     13.0       82     15.0      7.2     50.0      7.6     50.0     15.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.4     19.6     20.2     20.5    -99.5     20.9     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.13        5     18.0     None   -99.95     None     16.0     15.8
72C440 2025032817   1010.2   1014.8     15.2     None     12.6       84     14.7      7.4     50.0      7.7     50.0     15.5     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.2     19.4     20.1     20.4    -99.5     20.9     18.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        3     17.3     None   -99.95     None     15.9     15.2
72C440 2025032818   1011.0   1015.5     15.5     None     12.7       83     14.7      6.8     50.0      8.3     50.0     16.8     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.0     19.2     19.9     20.4    -99.5     20.9     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.04        0     17.7     None   -99.95     None     15.6     15.0
72C440 2025032819   1011.6   1016.2     15.4     None     13.2       86     15.1      6.2     40.0      7.2     50.0     15.7     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.8     19.1     19.8     20.3    -99.5     20.9     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.5     None   -99.95     None     15.6     15.4
72C440 2025032820   1012.7   1017.3     15.2     None     12.6       84     14.5      8.7     50.0      9.1     50.0     16.1     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.6     18.9     19.7     20.2    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.3     None   -99.95     None     15.4     15.2
72C440 2025032821   1013.4   1018.0     15.0     None     12.5       84     14.5      8.6     50.0      9.3     50.0     18.1     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.4     18.7     19.5     20.1    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.1     None   -99.95     None     15.2     14.9
72C440 2025032822   1013.4   1018.0     14.9     None     12.1       83     14.0      8.1     50.0     10.2     50.0     17.5     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.3     18.6     19.4     20.0    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     16.9     None   -99.95     None     15.0     14.8
72C440 2025032823   1014.4   1019.1     15.0     None     12.0       82     14.0      8.6     50.0      9.6     50.0     18.1     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.1     18.4     19.2     19.9    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.1     None   -99.95     None     15.1     14.9
72C440 2025032824   1014.6   1019.2     14.6     None     11.4       81     13.6      8.5     50.0      9.5     50.0     18.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     18.0     18.3     19.1     19.8    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     16.6     None   -99.95     None     15.1     14.6
72C440 2025032901   1014.7   1019.4     14.3     None     11.8       85     13.8      7.9     50.0      9.8     50.0     17.3     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.8     18.1     19.0     19.7    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     16.3     None   -99.95     None     14.7     14.3
72C440 2025032902   1014.7   1019.3     13.8     None     12.0       89     14.0      7.1     50.0      8.4     50.0     17.5     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.6     18.0     18.8     19.6    -99.5     20.8     19.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     15.7     None   -99.95     None     14.3     13.7
72C440 2025032903   1014.5   1019.2     13.6     None     12.1       90     14.2      7.9     50.0      8.9     50.0     16.0     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.5     17.8     18.7     19.5    -99.5     20.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     15.6     None   -99.95     None     13.8     13.6
72C440 2025032904   1014.3   1018.9     13.1     None     11.8       91     13.8      8.5     50.0      9.2     50.0     16.8     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.3     17.7     18.6     19.4    -99.5     20.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     15.1     None   -99.95     None     13.8     13.1
72C440 2025032905   1014.6   1019.2     13.3     None     11.6       89     13.7      7.5     50.0      8.6     50.0     15.9     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.2     17.6     18.5     19.3    -99.5     20.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     15.3     None   -99.95     None     13.3     13.0
72C440 2025032906   1014.9   1019.5     13.6     None     11.1       84     13.2      7.2     50.0      8.4     50.0     15.4     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.0     17.4     18.4     19.2    -99.5     20.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     15.6     None   -99.95     None     13.6     13.2
72C440 2025032907   1015.1   1019.6     14.0     None     10.7       80     12.9      8.1     50.0      9.6     50.0     18.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.9     17.3     18.2     19.1    -99.5     20.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.04        2     16.0     None   -99.95     None     14.0     13.6
