* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C630 2025021721    996.3     16.1       65      3.1     51.0      9.6     76.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C630 2025021722    996.9     16.2       65      3.4     63.0      8.9     81.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C630 2025021723    997.1     16.1       67      2.5     55.0      9.6     45.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025021724    997.1     15.7       72      2.4     47.0      8.0     24.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C630 2025021801    997.7     14.4       82      4.2     36.0     10.4     38.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025021802    997.8     13.6       86      3.0     43.0      9.9     49.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025021803    997.1     13.2       89      2.8     36.0      8.8      7.0      0.5     None     None     None     None     None     None     None     None     2300     None
C0C630 2025021804    996.7     13.4       87      4.0     35.0     10.6     37.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C630 2025021805    997.3     13.4       87      3.3     31.0      9.9     20.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C630 2025021806    997.6     13.7       83      3.1     32.0      9.8     50.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C630 2025021807    998.2     13.7       83      3.1     38.0     11.6     28.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C630 2025021808    999.0     13.8       83      3.8     34.0      9.7     21.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C630 2025021809    999.6     13.6       87      3.4     37.0      8.7     28.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C630 2025021810    999.6     14.0       85      3.7     37.0      9.8     21.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025021811    999.1     14.7       81      3.2     39.0      9.5     43.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C630 2025021812    998.0     15.3       78      3.4     57.0     11.0     71.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C630 2025021813    997.1     15.7       76      3.5     39.0     10.9     31.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C630 2025021814    996.7     15.8       73      3.1     60.0     12.9     74.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025021815    996.5     15.2       75      3.5     47.0     11.5     30.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025021816    996.8     14.8       75      4.6     40.0     12.2     10.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025021817    996.5     14.1       82      3.4     46.0     10.2     69.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C630 2025021818    997.0     13.6       83      4.1     38.0     13.9     32.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C630 2025021819    997.6     13.4       84      4.3     37.0     12.8     20.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C630 2025021820    997.6     13.8       80      3.7     53.0     13.5     71.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025021821    997.7     13.8       80      2.9     42.0     12.1     33.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C630 2025021822    997.5     13.7       81      3.4     43.0     10.4     36.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C630 2025021823    997.9     13.9       80      2.8     42.0     10.8     51.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025021824    997.6     13.3       85      3.4     59.0     11.6     22.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025021901    997.6     13.3       81      4.2     56.0      9.8     54.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025021902    996.9     13.4       79      3.5     53.0     12.5     55.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C630 2025021903    996.7     13.4       80      4.3     56.0     11.1     71.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C630 2025021904    996.1     13.3       80      4.1     60.0     11.9     62.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C630 2025021905    996.2     13.7       78      3.5     61.0     10.7     77.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C630 2025021906    997.3     13.6       80      4.2     60.0      9.4     71.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C630 2025021907    998.0     13.8       80      3.4     67.0      9.8     61.0   -999.6     None     None     None     None     None     None     None     None     0500     None
C0C630 2025021908    998.6     13.9       80      3.2     60.0     10.0     73.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C630 2025021909    998.7     14.3       78      3.8     57.0      9.9     64.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025021910    998.8     14.6       78      3.4     61.0     10.4     76.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C630 2025021911    997.8     15.2       77      3.1     57.0      9.2     30.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C630 2025021912    997.1     15.5       78      2.5     55.0      8.7     23.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C630 2025021913    996.1     16.0       77      3.2     62.0      8.9     73.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C630 2025021914    995.0     17.0       74      3.3     60.0      9.2     67.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C630 2025021915    995.2     16.6       77      3.2     64.0      8.8     40.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C630 2025021916    995.5     16.4       78      3.1     72.0      8.5     68.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C630 2025021917    995.7     16.3       79      3.1     78.0      7.5     68.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C630 2025021918    995.5     15.9       79      3.5     62.0      7.8     56.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C630 2025021919    995.8     15.6       80      3.7     62.0      8.9     60.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C630 2025021920    996.2     15.6       81      4.2     69.0      8.8     92.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C630 2025021921    996.4     15.4       84      3.0     59.0      7.9     69.0   -999.6     None     None     None     None     None     None     None     None     0900     None
C0C630 2025021922    996.7     15.3       85      2.7     83.0      7.6     83.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025021923    996.8     15.0       87      2.2    102.0      5.3     78.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025021924    996.8     14.6       89      1.7    131.0      4.2    105.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025022001    996.9     14.7       89      0.6    130.0      3.4    134.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025022002    996.8     14.6       90      0.0      0.0      2.0    168.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C630 2025022003    996.7     14.1       92      0.3    250.0      1.4    172.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025022004    996.7     14.5       91      0.3    149.0      1.7    258.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C630 2025022005    997.0     14.6       91      0.8    230.0      1.4    127.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022006    997.3     14.6       90      1.8    160.0      2.8    152.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C630 2025022007    998.2     14.9       91      1.0    292.0      2.6    160.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022008    998.8     14.9       89      0.8    198.0      2.5    159.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C630 2025022009    998.6     16.8       80      0.0      0.0      2.4    201.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C630 2025022010    998.4     17.6       79      1.7     11.0      4.1     14.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C630 2025022011    997.4     18.9       72      2.6     53.0      5.9     92.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C630 2025022012    996.4     19.5       73      2.5      5.0      6.0     41.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C630 2025022013    995.5     20.2       71      1.6      2.0      6.1    354.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022014    994.7     20.3       72      1.8     22.0      5.0      9.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C630 2025022015    994.7     18.9       80      2.5    356.0      5.8    344.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C630 2025022016    994.6     18.5       82      2.0      5.0      5.1    353.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022017    995.1     18.7       82      1.7      8.0      3.6      4.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C630 2025022018    995.7     18.4       81      1.3     64.0      5.0     22.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025022019    996.5     17.1       90      1.7    358.0      4.0    358.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C630 2025022020    997.1     16.7       91      2.3    347.0      4.7    353.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C630 2025022021    997.7     16.2       91      2.5    352.0      5.9      5.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C630 2025022022    997.9     16.0       93      1.0     24.0      5.3    358.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C630 2025022023    998.0     15.9       91      1.1     26.0      2.8     17.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025022024    998.2     15.5       90      1.5      1.0      3.6      6.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C630 2025022101    998.3     15.1       94      2.4    352.0      4.8    351.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C630 2025022102    997.8     14.5       96      3.4     10.0      6.7     20.0      0.5     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022103    998.0     13.9       97      2.4      4.0      6.4      6.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022104    998.4     13.8       97      3.6    356.0      6.9    353.0      0.5     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022105    998.6     13.8       97      1.0     30.0      7.0    354.0      0.5     None     None     None     None     None     None     None     None     0600     None
C0C630 2025022106    999.6     13.4       96      2.6     15.0      5.5    359.0      0.5     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022107   1000.0     13.1       96      1.6     46.0      7.5     25.0      1.0     None     None     None     None     None     None     None     None     2600     None
C0C630 2025022108   1000.4     13.2       96      1.8     19.0      6.6     16.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025022109   1000.7     13.6       92      2.1     22.0      6.5     17.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C630 2025022110   1000.6     13.6       94      2.1     69.0      5.7     13.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022111   1000.2     13.6       95      3.0     27.0      5.9     31.0      0.5     None     None     None     None     None     None     None     None     5900     None
C0C630 2025022112    999.8     15.6       82      2.8     58.0      7.9     39.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C630 2025022113    998.8     15.7       77      2.5     42.0      9.7     28.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C630 2025022114    998.4     16.0       75      3.1     56.0     10.1     65.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C630 2025022115    998.7     15.7       77      2.9     40.0      9.7     80.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C630 2025022116    998.6     14.9       80      3.8     60.0      9.9     68.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025022117    999.2     14.2       82      3.8     56.0     10.9     77.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C630 2025022118    999.9     13.8       84      2.7     48.0      9.3     84.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C630 2025022119   1000.3     13.3       85      3.6     59.0     10.4     77.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C630 2025022120   1000.5     13.2       86      4.2     52.0     11.2     83.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C630 2025022121   1000.7     13.2       86      3.8     39.0     12.3     76.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022122   1000.6     13.1       87      4.8     39.0     11.4     33.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022123   1000.5     13.1       88      4.3     38.0     12.3     38.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025022124   1000.1     13.1       87      3.8     40.0     12.3     38.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025022201     None     None     None     None     None     10.3     28.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C630 2025022202    999.2     13.6       83      3.0     47.0     12.0     58.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C630 2025022203    998.6     13.7       82      3.8     42.0      9.9     40.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C630 2025022204    998.4     13.7       83      3.3     47.0     10.6     65.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C630 2025022205    998.6     13.9       82      3.8     55.0     10.2     33.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025022206    999.1     14.0       83      3.0     50.0     10.1     80.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C630 2025022207    999.5     14.3       81      3.4     53.0     11.5     44.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022208    999.5     14.9       79      4.3     59.0     10.3     55.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025022209    998.5     16.0       75      4.1     56.0     11.4     69.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C630 2025022210    998.2     17.1       71      3.7     57.0     11.4     72.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C630 2025022211    998.0     17.1       71      4.4     58.0     11.2     61.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C630 2025022212    997.4     16.3       76      4.0     59.0     12.0     70.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022213    997.6     15.7       82      3.1     56.0      9.6     66.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025022214    996.6     15.5       84      3.8     59.0      9.3     76.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C630 2025022215    996.3     15.3       85      2.8     47.0     10.5     77.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C630 2025022216    996.4     14.9       85      3.8     58.0      9.9     67.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C630 2025022217    997.1     14.8       84      2.4     54.0     11.4     86.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C630 2025022218    998.3     14.5       85      2.7     36.0      8.8     16.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C630 2025022219    998.4     14.5       85      2.3     58.0      8.1     25.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025022220    998.9     14.6       85      2.0     52.0     10.1     37.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C630 2025022221    999.5     14.8       85      3.6     38.0      8.3     34.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C630 2025022222   1000.4     14.6       87      3.9     31.0     11.2     35.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C630 2025022223   1000.3     14.5       89      2.7     56.0      9.6     38.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025022224   1000.1     14.1       91      3.1     30.0      9.1     39.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C630 2025022301    999.8     13.6       94      3.2     31.0     10.0     30.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025022302   1000.0     14.0       89      2.4     42.0      9.6     33.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022303    999.8     13.5       95      2.6     28.0      9.6     25.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C630 2025022304    999.7     13.5       96      2.3     35.0      6.8     37.0      1.5     None     None     None     None     None     None     None     None     5800     None
C0C630 2025022305   1000.1     13.7       96      2.6     31.0      7.1     35.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C630 2025022306   1001.4     13.6       96      1.5     14.0      6.1     39.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C630 2025022307   1002.6     13.4       97      1.2     24.0      6.1      5.0      3.0     None     None     None     None     None     None     None     None     2600     None
C0C630 2025022308   1003.3     13.6       97      0.5     40.0      3.1     38.0      1.0     None     None     None     None     None     None     None     None     1700     None
C0C630 2025022309   1004.0     13.7       97      2.0     26.0      5.4     33.0      2.5     None     None     None     None     None     None     None     None     3600     None
C0C630 2025022310   1003.8     13.9       96      1.3     29.0      6.7     17.0      3.0     None     None     None     None     None     None     None     None     1500     None
C0C630 2025022311   1003.6     13.4       95      2.7     33.0      6.3     23.0      1.0     None     None     None     None     None     None     None     None     2500     None
C0C630 2025022312   1002.4     13.8       95      1.8     55.0      5.0     31.0      0.5     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022313   1001.9     14.7       89      2.3     57.0      7.9     28.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C630 2025022314   1001.4     14.9       82      2.1     49.0      8.6     62.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022315   1001.7     14.4       83      2.5     56.0      8.0     69.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C630 2025022316   1002.1     13.5       89      2.8     28.0      6.9     25.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C630 2025022317   1002.8     12.7       92      3.4     31.0      8.2     46.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C630 2025022318   1003.3     12.4       95      2.2     30.0      8.4     22.0      0.5     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022319   1003.6     11.9       93      1.9     52.0      7.9     33.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C630 2025022320   1004.2     12.3       88      3.6     65.0     11.5     67.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022321   1005.0     12.4       86      2.7     60.0      9.5     65.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C630 2025022322   1005.4     12.1       88      2.8     64.0     10.2     56.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025022323   1005.5     12.1       88      2.3     55.0      7.4     86.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C630 2025022324   1005.1     11.7       90      3.4     64.0      7.7     77.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C630 2025022401   1004.9     11.7       89      3.3     65.0     10.1     67.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C630 2025022402   1004.4     11.5       90      2.7     54.0     10.8     68.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C630 2025022403   1004.1     11.4       89      2.6     54.0      9.3     48.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025022404   1004.3     11.2       90      3.1     52.0      8.5     80.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C630 2025022405   1004.9     11.3       89      2.3     51.0      8.5     80.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C630 2025022406   1005.8     10.9       92      2.3     58.0      8.0     87.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C630 2025022407   1006.5     10.7       92      2.8     54.0      8.2     50.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022408   1006.9     10.7       90      3.4     60.0     10.6     65.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025022409   1007.2     11.0       86      3.0     58.0     10.9     65.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C630 2025022410   1007.1     11.1       83      4.1     53.0     11.3     81.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C630 2025022411   1006.3     11.7       78      4.5     59.0     12.8     56.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C630 2025022412   1005.3     12.4       75      3.4     47.0     13.6     81.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C630 2025022413   1004.3     12.5       73      4.2     59.0     13.6     76.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C630 2025022414   1003.5     11.8       78      3.7     49.0     13.3     72.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022415   1003.3     11.5       80      3.7     54.0     12.8     74.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C630 2025022416   1002.8     11.6       76      5.3     59.0     13.2     46.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C630 2025022417   1002.6     11.5       77      4.6     56.0     14.6     84.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C630 2025022418   1002.1     11.2       78      4.3     57.0     14.5     63.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C630 2025022419   1002.3     11.4       75      5.7     55.0     13.5     70.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C630 2025022420   1003.3     11.3       78      3.5     53.0     16.0     46.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025022421   1003.4     11.5       79      4.7     56.0     12.5     54.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C630 2025022422   1003.7     11.8       77      3.9     58.0     13.1     41.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C630 2025022423   1003.6     12.0       78      3.5     57.0     13.6     74.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C630 2025022424   1002.7     12.0       79      3.5     53.0     10.4     33.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C630 2025022501   1001.7     12.1       79      3.9     58.0     10.6     79.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C630 2025022502   1000.9     12.1       79      4.7     67.0     10.0     71.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022503   1000.3     12.2       79      3.9     66.0      9.9     69.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C630 2025022504    999.9     12.3       78      3.1     65.0      8.6     75.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022505   1000.4     12.5       78      2.6     62.0      6.8     68.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C630 2025022506   1001.4     12.7       77      2.6     59.0      6.9     47.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C630 2025022507   1001.9     12.8       78      1.8     73.0      6.1     68.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C630 2025022508   1002.8     13.1       79      1.7     91.0      4.4     91.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C630 2025022509   1003.3     13.6       78      1.4     80.0      3.6     76.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022510   1002.3     14.4       75      1.4     84.0      3.8    100.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C630 2025022511   1001.6     16.9       66      1.3     18.0      4.0      1.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C630 2025022512   1000.7     19.3       57      0.6    341.0      2.6    351.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C630 2025022513    999.6     20.1       56      0.0      0.0      4.6    330.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C630 2025022514    998.7     20.1       56      0.2      0.0      2.8     21.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C630 2025022515    998.2     20.0       62      1.0    339.0      2.4    354.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022516    998.9     17.8       68      3.9    298.0      6.4    324.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C630 2025022517    999.3     16.1       82      2.9    297.0      6.2    299.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C630 2025022518   1000.3     14.3       88      2.9    302.0      6.1    302.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C630 2025022519   1000.1     14.2       88      1.9    286.0      3.9    282.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025022520   1000.6     14.3       87      0.4    310.0      2.7    292.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C630 2025022521   1000.6     14.0       88      0.0      0.0      1.1    344.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C630 2025022522   1000.9     13.9       90      0.0      0.0      1.1    316.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C630 2025022523   1001.5     13.7       91      0.8    303.0      1.8    298.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025022524   1001.3     13.7       92      1.0    243.0      2.0    301.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022601   1000.5     13.4       93      1.7    261.0      3.2    195.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025022602   1000.2     13.3       93      1.2    268.0      4.1    323.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C630 2025022603    999.6     13.3       94      1.9    186.0      5.0    160.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C630 2025022604    999.4     13.7       93      0.0      0.0      2.6    287.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022605    999.6     13.5       93      1.4    211.0      2.8    162.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022606     None     None     None     None     None      2.2    200.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C630 2025022607   1000.4     13.8       94      0.7    209.0      1.7    262.0      0.5     None     None     None     None     None     None     None     None     1700     None
C0C630 2025022608     None     None     None     None     None      1.4    214.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C630 2025022609   1001.4     14.7       94      0.7    227.0      3.1    156.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C630 2025022610   1001.3     16.0       84      0.8    157.0      1.8    138.0      0.0     None     None     None     None     None     None     None     None     5900     None
